,BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2)
1370,2,6,11,2000,2.0,40542,32.0,34.2,1387773.0,1387830.0,0.0,9.67,0.09
1373,6,4,8,1954,1.0,42292,72.0,52.2,2255905.0,841540.0,1414400.0,80.99,1.83
1375,3,8,12,1975,5.0,41510,73.0,30.8,1280245.0,968504.0,311781.0,23.31,0.46
1376,4,10,5,1977,1.0,29380,30.0,28.6,841381.0,841416.0,0.0,5.87,0.08
1378,2,6,1,1978,2.0,56340,90.0,18.6,1045413.0,1045456.0,0.0,7.29,0.05
1379,2,6,4,1928,3.0,25538,91.0,29.3,747326.0,409441.0,337902.0,20.8,0.75
1381,2,6,4,1989,4.0,33692,95.0,23.1,590629.0,590653.0,0.0,4.12,0.05
1382,2,6,4,1930,3.0,39613,68.0,56.4,1910465.0,627906.0,1282585.0,72.5,1.76
1383,3,8,4,1958,5.0,28833,95.0,33.6,968343.0,764782.0,203593.0,16.14,0.45
1384,2,6,4,1925,2.0,24325,16.0,78.5,1908612.0,253853.0,1654770.0,89.65,3.64
1385,4,19,4,1922,2.0,22688,89.0,13.1,298063.0,228649.0,69423.0,5.28,0.19
1386,2,6,4,1968,4.0,33192,52.0,30.1,1000552.0,1000593.0,0.0,6.98,0.08
1387,3,8,4,1989,5.0,21902,83.0,26.9,589630.0,589654.0,0.0,4.11,0.07
1388,3,8,4,1999,6.0,46442,96.0,27.9,1297041.0,1127138.0,169950.0,16.88,0.26
1389,2,6,4,1995,3.0,21005,20.0,46.8,983687.0,598770.0,384941.0,24.62,1.05
1390,3,8,4,2007,6.0,52405,57.0,70.5,3674705.0,1078262.0,2596487.0,145.42,2.69
1391,3,8,4,2000,6.0,30648,87.0,29.3,666355.0,666382.0,0.0,4.65,0.06
1392,2,6,4,1985,4.0,37485,64.0,36.2,1357701.0,959412.0,398328.0,27.84,0.63
1393,3,8,4,1999,5.0,109924,81.0,44.6,2938366.0,1682936.0,1255499.0,78.41,0.65
1394,3,8,4,2001,5.0,72989,70.0,33.5,1528642.0,1528705.0,0.0,10.66,0.06
1395,2,6,4,1901,3.0,43128,73.0,35.2,1516377.0,921253.0,595162.0,38.03,0.79
1396,2,6,4,1901,3.0,24046,23.0,66.6,1602143.0,520525.0,1081640.0,61.07,2.45
1397,2,6,4,1978,3.0,22082,14.0,48.5,1070381.0,966084.0,104337.0,12.28,0.37
1398,3,8,4,1994,6.0,45640,71.0,25.3,793436.0,793469.0,0.0,5.53,0.05
1399,3,8,4,1998,5.0,41527,89.0,30.1,811900.0,811933.0,0.0,5.66,0.05
1401,2,6,9,2002,4.0,65471,73.0,31.4,2053611.0,1171213.0,882447.0,55.03,0.76
1404,4,10,11,1952,1.0,27435,49.0,44.9,1231546.0,621684.0,609888.0,36.72,1.24
1405,4,17,5,1982,2.0,41262,86.0,44.4,1810353.0,1810428.0,0.0,12.62,0.12
1406,2,6,7,1908,3.0,26250,98.0,35.5,933136.0,245168.0,687978.0,38.25,1.42
1407,3,8,7,2009,7.0,32143,74.0,49.0,1119655.0,571546.0,548133.0,33.1,0.95
1408,2,6,7,1948,3.0,22177,89.0,20.9,463837.0,463857.0,0.0,3.23,0.06
1409,2,6,7,1908,4.0,43712,80.0,51.2,2238747.0,551201.0,1687569.0,93.47,2.08
1410,3,8,7,2007,6.0,83270,92.0,30.7,1624382.0,1090109.0,534318.0,35.98,0.38
1411,3,8,7,1922,5.0,43998,99.0,44.3,1947717.0,338172.0,1609560.0,87.84,1.96
1412,3,8,7,1969,9.0,55604,100.0,25.1,1393073.0,1106855.0,286263.0,22.92,0.33
1413,2,6,7,1959,4.0,25056,79.0,25.2,632517.0,632543.0,0.0,4.41,0.07
1414,2,6,7,1990,4.0,46800,91.0,23.0,860036.0,860071.0,0.0,6.0,0.05
1416,2,6,7,1930,3.0,22320,76.0,71.2,1589550.0,203676.0,1385883.0,75.02,3.32
1417,1,1,6,2014,10.0,336003,92.0,29.9,10149229.0,6150716.0,3998769.0,255.25,0.68
1418,4,17,6,1953,2.0,43183,1.0,198.1,7542332.0,6681762.0,860848.0,92.3,1.47
1420,2,6,12,1968,3.0,20010,79.0,29.3,586795.0,586819.0,0.0,4.09,0.08
1421,4,19,8,1908,3.0,45680,81.0,43.5,1988784.0,497853.0,1490952.0,82.66,1.76
1422,3,8,6,2003,8.0,201197,91.0,37.6,5628001.0,3530683.0,2097464.0,136.01,0.6
1423,3,8,6,2000,5.0,36413,19.0,52.1,1896858.0,1122369.0,774535.0,48.96,1.21
1424,3,8,6,1997,6.0,88004,100.0,31.6,1967637.0,1050603.0,917078.0,56.03,0.59
1426,2,6,6,1926,3.0,23837,79.0,32.5,775380.0,536051.0,239352.0,16.45,0.59
1427,2,6,6,1997,4.0,24880,14.0,78.8,1960538.0,753426.0,1207143.0,69.36,2.66
1428,3,8,6,2006,7.0,261980,93.0,32.9,6884914.0,3897891.0,2987185.0,185.82,0.65
1429,3,8,6,2009,6.0,36389,52.0,37.5,1365644.0,1365701.0,0.0,9.52,0.1
1430,3,8,6,2010,6.0,49559,68.0,65.0,3220827.0,1214215.0,2006662.0,115.04,2.22
1432,2,6,6,1916,3.0,24000,88.0,48.4,1161815.0,306737.0,855090.0,47.55,1.93
1433,3,8,9,1974,7.0,143539,53.0,56.2,6333706.0,3100467.0,3233368.0,193.34,1.25
1434,2,6,12,1988,3.0,31499,80.0,27.0,682896.0,682924.0,0.0,4.76,0.06
1435,4,19,12,1957,1.0,23562,95.0,16.4,550767.0,550790.0,0.0,3.84,0.06
1436,2,6,12,1980,3.0,27922,86.0,23.1,643740.0,643767.0,0.0,4.49,0.06
1437,3,8,6,2001,5.0,53281,97.0,23.2,851944.0,851979.0,0.0,5.94,0.04
1439,6,4,2,1988,2.0,50701,77.0,36.0,1921222.0,1921302.0,0.0,13.39,0.1
1443,4,12,5,1914,2.0,45594,83.0,27.9,1272821.0,1272874.0,0.0,8.87,0.07
